商品类别,商品品牌,商品名称,售价,售价来源平台,销售平台,好评率
个护清洁,宝洁,宝洁护手霜Pro,62.5,苏宁易购,淘宝店铺,92.0%
个护清洁,宝洁,宝洁护手霜Pro 2025,767.35,京东,京东自营,96.5%
个护清洁,宝洁,宝洁护手霜标准版 2024,591.73,拼多多,快手小店,90.1%
个护清洁,宝洁,宝洁护手霜经典款,338.1,京东,快手小店,93.8%
个护清洁,宝洁,宝洁沐浴露旗舰版 2024,57.17,淘宝,抖音商城,95.2%
个护清洁,宝洁,宝洁沐浴露旗舰版 2025,896.66,苏宁易购,抖音商城,99.6%
个护清洁,宝洁,宝洁沐浴露青春版,299.88,天猫,京东自营,96.9%
个护清洁,宝洁,宝洁洁面乳旗舰版 2025,25.37,苏宁易购,京东自营,95.8%
个护清洁,宝洁,宝洁洁面乳标准版 2024,195.02,天猫,抖音商城,95.3%
个护清洁,宝洁,宝洁洁面乳青春版 2024,497.43,天猫,快手小店,96.2%
个护清洁,宝洁,宝洁洗发水标准版,829.47,拼多多,拼多多旗舰店,93.3%
个护清洁,宝洁,宝洁洗发水标准版,674.43,京东,快手小店,98.4%
个护清洁,宝洁,宝洁洗发水青春版 2025,276.35,苏宁易购,拼多多旗舰店,97.2%
个护清洁,宝洁,宝洁洗衣液Max 2025,138.78,天猫,天猫旗舰店,90.4%
个护清洁,宝洁,宝洁洗衣液旗舰版 2024,385.95,淘宝,淘宝店铺,93.4%
个护清洁,宝洁,宝洁洗衣液青春版 2025,30.54,淘宝,抖音商城,93.0%
个护清洁,宝洁,宝洁消毒液旗舰版,225.31,天猫,淘宝店铺,96.1%
个护清洁,宝洁,宝洁消毒液旗舰版 2024,147.83,京东,京东自营,97.2%
个护清洁,宝洁,宝洁消毒液标准版 2024,626.48,拼多多,拼多多旗舰店,91.1%
个护清洁,宝洁,宝洁牙膏Max 2024,84.72,天猫,天猫旗舰店,95.0%
个护清洁,宝洁,宝洁牙膏升级版 2024,82.47,京东,抖音商城,95.7%
个护清洁,宝洁,宝洁牙膏青春版,206.66,拼多多,天猫旗舰店,92.9%
个护清洁,宝洁,宝洁电动牙刷Max 2025,185.32,苏宁易购,天猫旗舰店,93.9%
个护清洁,宝洁,宝洁电动牙刷Pro 2024,296.84,京东,京东自营,99.1%
个护清洁,宝洁,宝洁电动牙刷青春版 2025,896.4,天猫,京东自营,95.2%
个护清洁,欧莱雅,欧莱雅护手霜旗舰版 2025,754.83,京东,京东自营,93.0%
个护清洁,欧莱雅,欧莱雅护手霜旗舰版 2025,631.86,苏宁易购,天猫旗舰店,95.7%
个护清洁,欧莱雅,欧莱雅护手霜标准版 2024,893.42,淘宝,抖音商城,91.6%
个护清洁,欧莱雅,欧莱雅沐浴露Max,384.99,京东,快手小店,96.1%
个护清洁,欧莱雅,欧莱雅沐浴露旗舰版,177.97,淘宝,淘宝店铺,94.4%
个护清洁,欧莱雅,欧莱雅沐浴露青春版,421.59,京东,快手小店,96.4%
个护清洁,欧莱雅,欧莱雅洁面乳Max 2024,79.67,天猫,抖音商城,95.9%
个护清洁,欧莱雅,欧莱雅洁面乳Pro 2025,568.49,天猫,京东自营,98.1%
个护清洁,欧莱雅,欧莱雅洁面乳升级版,58.01,天猫,京东自营,93.5%
个护清洁,欧莱雅,欧莱雅洁面乳新品,603.73,苏宁易购,抖音商城,92.4%
个护清洁,欧莱雅,欧莱雅洗发水标准版 2024,415.64,天猫,抖音商城,98.7%
个护清洁,欧莱雅,欧莱雅洗发水青春版 2024,884.61,拼多多,抖音商城,90.4%
个护清洁,欧莱雅,欧莱雅洗发水青春版 2025,518.02,京东,抖音商城,95.3%
个护清洁,欧莱雅,欧莱雅洗衣液Pro 2024,658.84,淘宝,快手小店,99.5%
个护清洁,欧莱雅,欧莱雅洗衣液旗舰版,153.29,京东,拼多多旗舰店,91.4%
